Date,10year,5year,1year
19/01/2016,8.69,8.64,8.36
20/01/2016,8.58,8.6,8.04
21/01/2016,8.55,8.53,7.63
22/01/2016,8.49,8.46,7.64
25/01/2016,8.38,8.34,7.71
26/01/2016,8.42,8.39,7.67
27/01/2016,8.45,8.35,7.72
28/01/2016,8.41,8.32,7.78
29/01/2016,8.28,8.17,7.78
01/02/2016,8.17,8.05,7.88
02/02/2016,8.12,8.08,7.63
03/02/2016,8.17,8.12,7.5
04/02/2016,8.13,8.1,7.49
05/02/2016,8.04,7.97,7.49
09/02/2016,8,7.98,7.47
10/02/2016,8.01,7.96,6.87
11/02/2016,7.95,7.84,7.25
12/02/2016,7.95,7.85,7.25
14/02/2016,7.95,7.85,7.25
15/02/2016,7.96,7.84,7.31
16/02/2016,7.95,7.8,7.16
17/02/2016,8.04,7.84,7.36
18/02/2016,8.03,7.83,7.36
19/02/2016,8.08,7.85,7.36
22/02/2016,8.12,7.86,7.39
23/02/2016,8.15,7.84,7.46
24/02/2016,8.26,7.9,7.92
25/02/2016,8.26,7.94,7.37
26/02/2016,8.23,7.93,7.28
29/02/2016,8.24,7.96,7.23
01/03/2016,8.25,7.97,7.24
02/03/2016,8.18,7.88,7.19
03/03/2016,8.09,7.77,7.11
04/03/2016,7.99,7.74,6.82
07/03/2016,7.84,7.57,7.07
08/03/2016,7.87,7.58,6.96
09/03/2016,7.87,7.58,6.96
10/03/2016,7.88,7.55,6.87
11/03/2016,7.81,7.47,6.91
14/03/2016,7.73,7.34,6.93
15/03/2016,7.75,7.35,7.02
16/03/2016,7.77,7.38,7.07
17/03/2016,7.75,7.37,7.03
18/03/2016,7.64,7.31,7.05
21/03/2016,7.7,7.37,7.11
22/03/2016,7.77,7.41,7.13
23/03/2016,7.78,7.43,7.05
24/03/2016,7.78,7.46,7
28/03/2016,7.81,7.49,6.92
29/03/2016,7.83,7.52,6.96
30/03/2016,7.78,7.46,6.82
31/03/2016,7.71,7.44,6.97
01/04/2016,7.58,7.33,6.89
04/04/2016,7.6,7.33,6.98
05/04/2016,7.63,7.38,6.76
06/04/2016,7.6,7.37,6.81
07/04/2016,7.6,7.36,6.8
08/04/2016,7.58,7.36,6.86
11/04/2016,7.54,7.34,6.78
12/04/2016,7.53,7.33,6.77
13/04/2016,7.43,7.29,6.88
14/04/2016,7.44,7.32,6.92
15/04/2016,7.42,7.27,6.78
18/04/2016,7.43,7.31,6.92
19/04/2016,7.43,7.26,6.91
20/04/2016,7.41,7.24,6.82
21/04/2016,7.42,7.23,6.9
22/04/2016,7.55,7.3,6.69
25/04/2016,7.65,7.38,6.75
26/04/2016,7.65,7.38,6.85
27/04/2016,7.62,7.37,6.77
28/04/2016,7.63,7.37,6.75
29/04/2016,7.72,7.43,6.84
02/05/2016,7.7,7.46,6.72
03/05/2016,7.69,7.44,6.78
04/05/2016,7.7,7.43,6.79
09/05/2016,7.76,7.43,6.58
10/05/2016,7.78,7.49,6.72
11/05/2016,7.77,7.51,6.7
12/05/2016,7.79,7.54,6.7
13/05/2016,7.73,7.5,6.76
16/05/2016,7.69,7.45,6.72
17/05/2016,7.68,7.44,6.79
18/05/2016,7.62,7.43,6.74
19/05/2016,7.81,7.54,6.8
20/05/2016,7.88,7.59,6.82
23/05/2016,7.91,7.61,6.75
24/05/2016,7.91,7.59,6.7
25/05/2016,7.89,7.54,6.69
26/05/2016,7.86,7.55,6.75
27/05/2016,7.83,7.54,6.91
30/05/2016,7.81,7.55,6.78
31/05/2016,7.87,7.56,6.73
01/06/2016,7.84,7.54,6.72
02/06/2016,7.88,7.55,6.7
03/06/2016,7.87,7.53,6.72
06/06/2016,7.79,7.49,6.8
07/06/2016,7.73,7.49,7.11
08/06/2016,7.6,7.44,6.73
09/06/2016,7.57,7.41,7
10/06/2016,7.62,7.46,6.49
13/06/2016,7.63,7.46,6.77
14/06/2016,7.62,7.46,6.52
15/06/2016,7.64,7.48,6.51
16/06/2016,7.61,7.46,6.49
17/06/2016,7.62,7.46,6.69
20/06/2016,7.61,7.47,6.79
21/06/2016,7.62,7.5,6.53
22/06/2016,7.62,7.5,6.52
23/06/2016,7.61,7.48,6.5
24/06/2016,7.73,7.55,7.02
27/06/2016,7.73,7.58,6.94
28/06/2016,7.62,7.48,6.86
29/06/2016,7.51,7.39,6.93
30/06/2016,7.46,7.3,6.92
01/07/2016,7.41,7.28,6.89
04/07/2016,7.28,7.19,6.82
11/07/2016,7.13,6.96,6.66
12/07/2016,7.08,6.96,6.72
13/07/2016,7.12,6.97,6.72
14/07/2016,7.15,7.02,6.97
15/07/2016,7.14,7.01,6.78
18/07/2016,7.12,6.97,6.75
19/07/2016,7.08,6.94,6.66
20/07/2016,7.01,6.86,6.62
21/07/2016,7.01,6.84,6.6
22/07/2016,7.04,6.88,6.66
25/07/2016,7.14,6.92,6.61
26/07/2016,7.12,6.93,6.6
27/07/2016,7.06,6.88,6.65
28/07/2016,6.97,6.82,6.38
29/07/2016,6.94,6.78,6.44
01/08/2016,6.91,6.73,6.47
02/08/2016,6.86,6.68,6.39
03/08/2016,6.86,6.68,6.42
04/08/2016,6.9,6.71,6.62
05/08/2016,6.88,6.69,6.55
06/08/2016,6.88,6.69,6.55
08/08/2016,6.85,6.69,6.56
09/08/2016,6.86,6.7,6.57
10/08/2016,6.8,6.65,6.46
11/08/2016,6.78,6.64,6.35
12/08/2016,6.78,6.64,6.36
13/08/2016,6.78,6.64,6.36
14/08/2016,6.78,6.64,6.73
15/08/2016,6.81,6.65,6.38
16/08/2016,6.82,6.65,6.42
18/08/2016,6.82,6.61,6.44
19/08/2016,6.83,6.62,6.4
22/08/2016,6.93,6.7,6.42
23/08/2016,7.06,6.79,6.62
24/08/2016,7.11,6.82,6.45
25/08/2016,7.07,6.78,6.41
26/08/2016,7.06,6.78,6.4
29/08/2016,7.12,6.81,6.45
30/08/2016,7.14,6.82,6.42
31/08/2016,7.14,6.8,6.5
01/09/2016,7.07,6.77,6.34
02/09/2016,6.99,6.7,6.35
05/09/2016,6.91,6.68,6.33
06/09/2016,6.87,6.66,6.39
07/09/2016,6.88,6.65,6.35
08/09/2016,6.89,6.65,6.21
09/09/2016,6.92,6.67,6.26
13/09/2016,6.98,6.72,6.34
14/09/2016,7.06,6.81,6.38
15/09/2016,7.08,6.83,6.36
16/09/2016,7.03,6.82,6.36
17/09/2016,7.03,6.82,6.36
19/09/2016,6.98,6.8,6.35
20/09/2016,6.98,6.8,6.34
21/09/2016,6.97,6.8,6.27
22/09/2016,6.9,6.71,6.18
23/09/2016,6.87,6.71,6.18
24/09/2016,6.87,6.71,6.18
25/09/2016,6.87,6.71,6.67
26/09/2016,6.91,6.72,6.16
27/09/2016,6.91,6.73,6.19
28/09/2016,6.93,6.77,6.22
29/09/2016,6.99,6.82,6.25
30/09/2016,7.07,6.84,6.26
03/10/2016,7.04,6.83,6.2
04/10/2016,7.01,6.82,6.18
05/10/2016,7.01,6.84,6.24
06/10/2016,7.04,6.86,6.08
07/10/2016,7.09,6.92,6.15
10/10/2016,7.12,6.96,6.34
11/10/2016,7.13,6.99,6.25
12/10/2016,7.12,6.99,6.13
13/10/2016,7.08,6.96,6.19
14/10/2016,7.05,6.96,6.16
15/10/2016,7.05,6.96,6.15
17/10/2016,7.05,6.98,6.24
18/10/2016,7.08,7.02,6.21
19/10/2016,7.12,7.03,6.32
20/10/2016,7.14,7.04,6.23
21/10/2016,7.08,6.94,6.39
24/10/2016,7.04,6.87,6.15
25/10/2016,7.05,6.85,6.27
26/10/2016,7.07,6.85,6.3
27/10/2016,7.11,6.87,6.29
28/10/2016,7.2,6.93,6.43
